Tweets,Subjectivity,Polarity,Analysis
"Decolonising Evaluation
Learn to identify the intersection between evaluation and decolonization debates by underst… https://t.co/ZiinuDHLc1",0,0,Neutral
If you have down time and watch to expand your mind? Look to Coursera or EdX to further your learning.,0.394444444,-0.077777778,Negative
I ❤️ Stats: Does astrology work? Does homeopathy work? How will you test it? How will you set up a clinical trial t… https://t.co/aXnJdJRZyM,0,0,Neutral
I’m on my way to completing Mandarin Chinese Essentials online with . What are you spending your time lea… https://t.co/rWpe2LdRYq,0,0,Neutral
The new Foundations of Modern Mining Program developed by the University of Queensland and  &amp; sponsored b… https://t.co/y1WVDkTwHL,0.351515152,0.145454545,Positive
I’m on my way to completing Technology Entrepreneurship: Lab to Market online with . What are you spendin… https://t.co/9q60XUDC77,0,0,Neutral
"Instruction 1845099: ""sub edx, 0x40""
 OneSecondTweeted",0,0,Neutral
"Now playing Enjoli - Thinking [EDx] on Wutz Hood Radio, iTunes Radio, and TuneIn.",0,0,Neutral
"Now playing Enjoli - Thinking [EDx] on Wutz Hood Radio, iTunes Radio, and TuneIn.",0,0,Neutral
"Now playing Enjoli - Thinking [EDx] on Wutz Hood Radio, iTunes Radio, and TuneIn.",0,0,Neutral
"Harvard edX on-line info science software FAQ: price, critiques, and programs https://t.co/ZKTFhnGfUt",0,0,Neutral
"Instruction 1845084: ""lea edx, ptr [eax+ecx*2]""
 OneSecondTweeted",0,0,Neutral
I'm taking Supply Chain Analytics online with . Check it out! https://t.co/wN8D1lpX7F,0,0,Neutral
":  Alguns links, galera: 📚

Harvard:
https://t.co/iNAgSczil1

Senai:
https://t.co/Vr2928wK6J

USP:
https://t.co/WM5j…",0,0,Neutral
