Tweets,Subjectivity,Polarity,Analysis
:   Make certain to block all future shawacademy charges through your bank or complict corrupt cri…,0.5654761904761905,-0.09523809523809523,Negative
    I'll appreciate..thanks.,0.0,0.0,Neutral
"  Hi there, we would like to take a closer look at your case. Could you please DM us wi… https://t.co/9nadH5zYbg",0.0,0.0,Neutral
"  We’re sorry you feel that way. If you need assistance, please don't hesitate to DM us. https://t.co/HZ0vk2VAzD",1.0,-0.5,Negative
"  We’re sorry you feel that way. If you need assistance, please don't hesitate to DM us. https://t.co/HZ0vk2VAzD",1.0,-0.5,Negative
    I haven't finished as yet but am in process. I will pin this tweet… https://t.co/lzMf957dkZ,0.0,0.0,Neutral
  Could you please DM us the email address linked to your Shaw Academy account? We would lik… https://t.co/sDP5cExLyf,0.0,0.0,Neutral
     Could you please DM us the email address linked to y… https://t.co/EIFDND1nm8,0.0,0.0,Neutral
  Could you please DM us the email address linked to your Shaw Academy account? We would l… https://t.co/R1P2pftbYa,0.0,0.0,Neutral
"  If you want to stop receiving email/SMS communications, simply click the unsubscribe link on… https://t.co/CruChEUTSZ",0.35714285714285715,0.0,Neutral
"     Hi there, we would like to take a closer look at your cas… https://t.co/dL4GSoJexa",0.0,0.0,Neutral
"  Hello there, we would like to check the status of the case and notify our team about thi… https://t.co/wUEgQCbCJS",0.0,0.0,Neutral
  We’re sorry to hear that. Could you please DM us your email address so we can take a look… https://t.co/GBHdpyuCgX,1.0,-0.5,Negative
"  Hello there, we would like to check the status of the case and notify our team about this.… https://t.co/zuR52jir0k",0.0,0.0,Neutral
  Could you please DM us the email address linked to your Shaw Academy account? We would like t… https://t.co/LDR2fDc7FK,0.0,0.0,Neutral
"     Thanks for reaching out to us today, Kgomotso. Yes… https://t.co/ToBVc2Gtiw",0.2,0.2,Positive
   Could you please DM us the email address linked to your Shaw Academy account? We… https://t.co/t6TZfaTX0R,0.0,0.0,Neutral
  Could you please DM us the email address linked to your Shaw Academy account? We would like… https://t.co/bkQx9quiaW,0.0,0.0,Neutral
  Could you please DM us the email address linked to your Shaw Academy account? We would like… https://t.co/8zKbkmb2Ne,0.0,0.0,Neutral
  Could you please DM us the email address linked to your Shaw Academy account? We would like… https://t.co/SRi1igpYiE,0.0,0.0,Neutral
    We have worked tirelessly over the last few months to improve our s… https://t.co/hESIjH2CTD,0.08333333333333334,-0.1,Negative
"  We have worked tirelessly over the last few months to improve our systems, and provide hig… https://t.co/JxPKHPsylO",0.08333333333333334,-0.1,Negative
"  We have worked tirelessly over the last few months to improve our systems, and provide hig… https://t.co/cNFD9Ik3u7",0.08333333333333334,-0.1,Negative
  Could you please DM us the email address linked to your Shaw Academy account? We would lik… https://t.co/UVUDhBrhWf,0.0,0.0,Neutral
   Could you please DM us the email address linked to your Shaw Academy account… https://t.co/0eE6TuJSxy,0.0,0.0,Neutral
  Could you please DM us the email address linked to your Shaw Academy account? We would like t… https://t.co/aPvcQhKZsO,0.0,0.0,Neutral
     Could you please DM us the email address linked to your S… https://t.co/RvjHb4vc2H,0.0,0.0,Neutral
    Thanks for the heads up! A care agent will follow up with you as soon as possible.,0.6,0.125,Positive
  Did you gave them your card number? I haven't so I was just asking.,0.0,0.0,Neutral
 please don't call me at 440am ever again.,0.0,0.0,Neutral
  I should’ve did more research before starting my free trial. A lot of shenanigans going on with it.,0.4666666666666666,0.3,Positive
 COMPLETE SCAM I WANT MY MONEY BACK https://t.co/LQE0mSSrws,0.2,0.05,Positive
 SCAM Alert - do not sign-up. Check it by yourself on trust pilot https://t.co/U6u2tQdmpf,0.0,0.0,Neutral
  you should seriously check out what is going on at the moment with  and what h… https://t.co/l25KlB8wuh,0.6666666666666666,-0.3333333333333333,Negative
"It wont be mong until James Egan, CEO of  has to incur sanctions.",0.0,0.0,Neutral
Its been a hell of a journey with   which continue to steal from people despite an article in the… https://t.co/TPOS9DcpNw,0.0,0.0,Neutral
Scam alert ⚠️ i registered to Acting courses on   and have been stolen 100€. I just discovered that mor… https://t.co/nLPCAs2tlG,0.0,0.0,Neutral
    I always wanted to do a short course with Shawacademy but I wasn't… https://t.co/SSDm6ap96e,0.3,0.0,Neutral
 it has been hard adding friends to my account and contacting support staff left me suspicious after my… https://t.co/OTBlFnHrnF,0.2708333333333333,-0.14583333333333334,Negative
 My story is that you charged me for a membership I never asked and I've been waiting for the refund for weeks!,0.0,0.0,Neutral
" please stop tryna charge my card, y’all not getting it. And why I gotta call to cancel my trial?  Make… https://t.co/jgXrA6O51L",0.0,0.0,Neutral
         Thank you,0.0,0.0,Neutral
 you charged me for cancelled subscription. I have emailed you back but no response.,0.0,0.0,Neutral
"Good day , ,..My name is Orumese Dorcas. I was debited unla… https://t.co/NR0tNKszBB",0.6000000000000001,0.7,Positive
" Please stop harassing me, I don't want to reactivate my account you have been bombarding me with messa… https://t.co/X49zyIf6cD",0.0,0.0,Neutral
"Christ,  is the biggest pain in the ass",0.0,0.0,Neutral
"Looking to build muscle and still like eating snacks? 👀

Check out these healthy snacks that will help with that bo… https://t.co/T1wiv3RfUM",0.5,0.5,Positive
   Same! I’m so annoyed.  your messages are harassment as this point!… https://t.co/6rSLxyDdr5,0.4625,-0.2,Negative
 is literally a scam. yall they just take ur money. my course worked for the fist week only that's it.… https://t.co/KTZYqsTshF,1.0,0.0,Neutral
 actually did me so dirty. taking my money away months after I had left the course and refusing to cont… https://t.co/XSjnL3t3tl,0.3,-0.19999999999999998,Negative
 SCAM ALERT!!!,0.0,0.0,Neutral
    i already have,0.0,0.0,Neutral
  SCAMMM!!! I did a 4 week free trial and didn't do a single class so I emailed them a few times and as… https://t.co/9txREmb5UH,0.37142857142857144,0.04285714285714287,Positive
" Dont trust these people, they are a scam company. You can look at alot of places and they just take mo… https://t.co/7xiHW14CCz",0.0,0.0,Neutral
"   Hi there, we would like to take a closer look at your case. Could you please… https://t.co/O0GwqfE6Ri",0.0,0.0,Neutral
"  Hi, thanks for reaching out to us today. Could you please DM us your email address? We’re… https://t.co/G6pEzV4gle",0.2,0.2,Positive
"  Hi there, we would like to take a closer look at your case. Could you please DM us with yo… https://t.co/gLGQEUgSAJ",0.0,0.0,Neutral
"  We have worked tirelessly over the last few months to improve our systems, and provide hig… https://t.co/dbQRFtlk4w",0.08333333333333334,-0.1,Negative
"   We have worked tirelessly over the last few months to improve our systems, and pro… https://t.co/JXQ3Nex511",0.08333333333333334,-0.1,Negative
"   Hello there, we would like to check the status of the case and notify our team… https://t.co/6rEa6tYbcW",0.0,0.0,Neutral
"   Hello there, we would like to check the status of the case and notify our team… https://t.co/Vjyv1xwlQ7",0.0,0.0,Neutral
"  Hello there, we would like to check the status of the case and notify our team about this.… https://t.co/uczsMtPuxz",0.0,0.0,Neutral
"  We have worked tirelessly over the last few months to improve our systems, and provide… https://t.co/r2QY1ZbBqI",0.08333333333333334,-0.1,Negative
"    Hi there, we would like to take a closer look at your case. Could you plea… https://t.co/SuvldY0I1I",0.0,0.0,Neutral
"   Hi there, we would like to take a closer look at your case. Could you please DM us… https://t.co/946cnQqyVq",0.0,0.0,Neutral
"   Hi there, we would like to take a closer look at your case. Could you please… https://t.co/8iadDbZuhG",0.0,0.0,Neutral
"  Hi there, we would like to take a closer look at your case. Could you please DM us with y… https://t.co/kLO7ViwJ6L",0.0,0.0,Neutral
"   Hello there, we would like to check the status of the case and notify our te… https://t.co/BGMSyBRHPv",0.0,0.0,Neutral
"  We have worked tirelessly over the last few months to improve our systems, and provide high… https://t.co/GNWnlyh8nj",0.08333333333333334,-0.1,Negative
"  We have worked tirelessly over the last few months to improve our systems, and provide high qu… https://t.co/4TkFHtCd0E",0.23555555555555552,-0.013333333333333336,Negative
" We have worked tirelessly over the last few months to improve our systems, and provide high quality educat… https://t.co/QEtW1VyOVT",0.23555555555555552,-0.013333333333333336,Negative
    Do I need to report it to PayPal? I’ve cancelled my future payment with them.,0.125,0.0,Neutral
  Thanks for the heads up! A care agent will follow up with you as soon as possible.,0.6,0.125,Positive
   Could you please DM us the email address linked to your Shaw Academy account… https://t.co/JsXjFpaHZh,0.0,0.0,Neutral
 Shaw Academy is a Scam. ShawAcademy ShawAcademyMustFall see more here https://t.co/YUZRZPP3gF,0.5,0.5,Positive
  they are also the plug and ,0.0,0.0,Neutral
:   Beware! A cancelled shawacademy account means nothing. They will still steal your money unless you b…,0.0,0.0,Neutral
And if customer contact to  they say that they deleted all info and after one month or two months they… https://t.co/mROabKuUUL,0.0,0.0,Neutral
